,rssi_D1_1F_AP01,rssi_D1_1F_AP02,rssi_D1_1F_AP03,rssi_D1_1F_AP04,rssi_D1_1F_AP05,rssi_D1_1F_AP06,rssi_D1_1F_AP07,rssi_D1_1F_AP08,xr,yr,cur_eirp,floor
180,-81.0,-87.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
181,-83.0,-87.0,-88.0,-100.0,-42.0,-78.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
182,-82.0,-86.0,-89.0,-100.0,-42.0,-78.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
183,-84.0,-84.0,-89.0,-100.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
184,-83.0,-84.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
185,-83.0,-85.0,-89.0,-100.0,-42.0,-80.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
186,-83.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
187,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
188,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
189,-100.0,-100.0,-100.0,-85.0,-40.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
190,-100.0,-100.0,-100.0,-85.0,-40.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
191,-100.0,-100.0,-100.0,-85.0,-40.0,-77.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
192,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
193,-100.0,-100.0,-100.0,-85.0,-40.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
194,-100.0,-100.0,-100.0,-85.0,-40.0,-77.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
195,-79.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
196,-79.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
197,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,841.0024775,1276.520176,9.0,1
198,-79.0,-100.0,-93.0,-85.0,-40.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
199,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
200,-79.0,-100.0,-93.0,-85.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
201,-79.0,-100.0,-100.0,-85.0,-40.0,-77.0,-100.0,-90.0,841.0024775,1276.520176,9.0,1
202,-100.0,-100.0,-100.0,-100.0,-40.0,-77.0,-100.0,-90.0,841.0024775,1276.520176,9.0,1
203,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
204,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,841.0024775,1276.520176,9.0,1
205,-79.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
206,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,841.0024775,1276.520176,9.0,1
207,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
208,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,841.0024775,1276.520176,9.0,1
209,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
210,-75.0,-100.0,-90.0,-84.0,-40.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
211,-100.0,-100.0,-100.0,-86.0,-41.0,-77.0,-100.0,-90.0,841.0024775,1276.520176,9.0,1
212,-100.0,-100.0,-89.0,-86.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
213,-100.0,-100.0,-89.0,-86.0,-40.0,-77.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
214,-77.0,-100.0,-91.0,-85.0,-40.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
215,-76.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
216,-78.0,-100.0,-90.0,-84.0,-39.0,-100.0,-100.0,-100.0,841.0024775,1276.520176,9.0,1
217,-100.0,-100.0,-100.0,-86.0,-41.0,-77.0,-100.0,-90.0,841.0024775,1276.520176,9.0,1
